date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:49	557/557	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Sep%202020%2016:39:48%20GMT	https://herfybd.com/robots.txt		(from )
22:39:49	229178/229178	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Sep%202020%2016:39:48%20GMT	https://herfybd.com/	C:/My%20Web%20Sites/kawsermony/herfybd.com/index.html	(from )
22:39:49	2818/2818	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Oct%202018%2012:09:40%20GMT	https://herfybd.com/assets/image/favicon.ico	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/image/favicon.ico	(from https://herfybd.com/)
22:39:50	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2022%20Oct%202018%2004:43:50%20GMT	https://herfybd.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/font-awesome.min.css	(from https://herfybd.com/)
22:39:50	570807/570807	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Nov%202019%2007:45:16%20GMT	https://herfybd.com/assets/css/stylecrush.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/stylecrush.css	(from https://herfybd.com/)
22:39:51	1683/1683	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/stylesce.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/stylesce.css	(from https://herfybd.com/)
22:39:51	50/50	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/print.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/print.css	(from https://herfybd.com/)
22:39:52	183/183	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/viewportbuggyfill.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/viewportbuggyfill.css	(from https://herfybd.com/)
22:39:52	7899/7899	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/magnificpopup.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/magnificpopup.css	(from https://herfybd.com/)
22:39:52	212/212	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2012:09:38%20GMT	https://herfybd.com/assets/css/style.css	C:/My%20Web%20Sites/kawsermony/herfybd.com/assets/css/style.css	(from https://herfybd.com/)
